Result,Result Count,Machine,Materials
GRANDMAS_WALKING_STICK,1,enhanced_crafting_table,{'Oak Log': 3}
GRANDPAS_WALKING_STICK,1,enhanced_crafting_table,"{'Leather': 2, 'Oak Log': 3}"
PORTABLE_CRAFTER,1,enhanced_crafting_table,"{'Book': 1, 'Crafting Table': 1}"
FORTUNE_COOKIE,1,enhanced_crafting_table,"{'Cookie': 1, 'Paper': 1}"
DIET_COOKIE,1,magic_workbench,"{'Cookie': 1, 'ELYTRA_SCALE': 1}"
OUTPUT_CHEST,1,enhanced_crafting_table,"{'LEAD_INGOT': 5, 'Hopper': 1, 'Chest': 1}"
ENHANCED_CRAFTING_TABLE,1,multiblock,"{'Crafting Table': 1, 'Dispenser': 1}"
PORTABLE_DUSTBIN,1,enhanced_crafting_table,{'Iron Ingot': 8}
BEEF_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Steak': 1}"
PORK_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Cooked Porkchop': 1}"
CHICKEN_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Cooked Chicken': 1}"
MUTTON_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Cooked Mutton': 1}"
RABBIT_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Cooked Rabbit': 1}"
FISH_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Cooked Cod': 1}"
KELP_COOKIE,2,enhanced_crafting_table,"{'Dried Kelp': 4, 'Sugar': 1}"
GRIND_STONE,1,multiblock,"{'Oak Fence': 1, 'Dispenser (Facing up)': 1}"
ARMOR_FORGE,1,multiblock,"{'Anvil': 1, 'Dispenser (Facing up)': 1}"
ORE_CRUSHER,1,multiblock,"{'Nether Brick Fence': 1, 'Iron Bars': 2, 'Dispenser (Facing up)': 1}"
COMPRESSOR,1,multiblock,"{'Nether Brick Fence': 1, 'Piston': 2, 'Dispenser (Facing up)': 1}"
MAGIC_LUMP_1,2,grind_stone,{'Nether Wart': 1}
MAGIC_LUMP_2,1,enhanced_crafting_table,{'MAGIC_LUMP_1': 4}
MAGIC_LUMP_3,1,enhanced_crafting_table,{'MAGIC_LUMP_2': 4}
ENDER_LUMP_1,2,grind_stone,{'Eye of Ender': 1}
ENDER_LUMP_2,1,enhanced_crafting_table,{'ENDER_LUMP_1': 4}
ENDER_LUMP_3,1,enhanced_crafting_table,{'ENDER_LUMP_2': 4}
